Country,Indicator,Scenario,Type,ProgressRate,Scenario_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Year_filter
Ethiopia,"Water Services, Access, percent of population",quadrupling,Water,1.89,ALB,56.41,62.92,67.94,71.23,71.82,72.38,72.97,73.56,74.16,74.76,75.36,
Ethiopia,"Water Services, Access, percent of population",quadrupling,Water,2.1,SM,50.73,53.76,56.83,60.0,62.69,65.22,66.57,67.92,69.23,70.52,71.76,
Ethiopia,"Water Services, Access, percent of population",six-fold,Water,1.51,ALB,60.3,68.13,70.49,71.23,71.82,72.39,72.97,73.55,74.16,74.76,75.36,
Ethiopia,"Water Services, Access, percent of population",six-fold,Water,2.43,SM,51.82,55.73,59.38,63.27,66.56,69.51,70.91,72.3,73.63,74.91,76.13,
Ghana,"Sanitation Services, Access, percent of population",Base,Sanitation,1.3,Base,23.62,24.06,25.59,26.77,27.82,29.01,30.55,32.21,33.71,35.16,36.59,
Ghana,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.02,ALB,29.78,36.86,43.93,50.97,58.02,65.04,72.06,79.06,86.06,93.03,100.0,2030
Ghana,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.0,SM,30.02,36.61,44.3,51.8,58.92,65.94,73.08,80.14,86.94,93.55,100.0,2030
Ghana,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.53,ALB,25.25,27.81,30.36,32.9,35.44,37.98,40.51,43.02,45.56,48.05,50.55,2050
Ghana,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.92,SM,25.5,27.51,30.83,34.04,36.83,39.59,42.73,45.98,49.0,51.9,54.74,2050
Ghana,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.1,ALB,23.62,60.21,25.64,61.32,27.89,49.18,31.23,63.76,33.76,65.07,44.65,
Ghana,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.26,SM,25.34,27.61,30.95,33.8,36.61,39.61,41.33,43.11,44.76,46.36,47.93,
Ghana,"Sanitation Services, Access, percent of population",halving,Sanitation,0.84,ALB,23.02,22.9,23.73,24.08,24.37,24.76,26.09,27.49,28.83,30.15,31.46,
Ghana,"Sanitation Services, Access, percent of population",halving,Sanitation,0.62,SM,22.76,22.2,22.64,22.73,22.52,22.28,23.63,25.14,26.47,27.72,28.96,
Ghana,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.84,ALB,27.04,30.05,34.63,38.82,42.26,45.61,47.83,50.21,52.13,53.85,55.48,
Ghana,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,3.31,SM,28.51,33.79,39.59,44.38,48.96,53.43,55.15,56.87,58.5,60.07,61.6,
Ghana,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.13,ALB,29.07,33.3,39.1,44.3,48.39,51.96,53.9,55.92,57.56,59.03,60.41,
Ghana,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.32,SM,31.44,38.99,46.3,52.05,57.28,60.99,61.8,62.61,63.32,64.0,64.66,
Ghana,"Water Services, Access, percent of population",Base,Water,0.44,Base,84.7,84.8,85.37,85.84,86.2,86.59,87.13,87.7,88.19,88.65,89.06,
Ghana,"Water Services, Access, percent of population",Full water access in 2030,Water,1.38,ALB,86.05,87.57,89.05,90.48,91.92,93.3,94.65,95.97,97.29,98.56,99.81,2030
Ghana,"Water Services, Access, percent of population",Full water access in 2030,Water,1.39,SM,86.11,87.54,89.26,90.87,92.33,93.73,95.14,96.47,97.72,98.89,100.0,2030
Ghana,"Water Services, Access, percent of population",Full water access in 2050,Water,0.56,ALB,85.15,85.78,86.32,86.92,87.52,88.09,88.63,89.17,89.72,90.24,90.76,2050
Ghana,"Water Services, Access, percent of population",Full water access in 2050,Water,0.71,SM,85.22,85.75,86.66,87.5,88.21,88.89,89.65,90.41,91.1,91.73,92.32,2050
Ghana,"Water Services, Access, percent of population",doubling,Water,0.63,ALB,85.97,87.06,88.45,89.56,90.32,90.69,90.98,91.37,91.71,92.0,92.29,
Ghana,"Water Services, Access, percent of population",doubling,Water,0.6,SM,85.29,85.86,86.94,87.81,88.4,89.02,89.47,90.02,90.47,90.88,91.27,
Ghana,"Water Services, Access, percent of population",halving,Water,0.16,ALB,84.04,83.37,83.28,82.98,82.51,82.04,82.79,83.63,84.33,84.98,85.59,
Ghana,"Water Services, Access, percent of population",halving,Water,0.26,SM,84.44,84.2,84.5,84.65,84.64,84.61,85.08,85.67,86.17,86.62,87.03,
Ghana,"Water Services, Access, percent of population",quadrupling,Water,0.48,ALB,87.9,89.37,90.04,90.47,90.72,91.01,91.38,91.77,92.1,92.4,92.69,
Ghana,"Water Services, Access, percent of population",quadrupling,Water,0.7,SM,86.24,87.25,88.51,89.52,90.35,91.14,91.62,92.11,92.52,92.89,93.22,
Ghana,"Water Services, Access, percent of population",six-fold,Water,0.35,ALB,89.21,89.67,90.15,90.47,90.73,91.01,91.38,91.77,92.09,92.4,92.69,
Ghana,"Water Services, Access, percent of population",six-fold,Water,0.66,SM,86.94,88.12,89.62,90.75,91.64,92.3,92.58,92.85,93.09,93.3,93.5,
Guatemala,"Sanitation Services, Access, percent of population",Base,Sanitation,0.64,Base,67.19,67.7,68.65,69.29,69.88,70.44,71.07,71.73,72.36,72.97,73.59,
Guatemala,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,2.97,ALB,70.29,73.33,76.35,79.36,82.35,85.33,88.29,91.24,94.18,97.1,100.0,2030
Guatemala,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,2.97,SM,70.3,72.99,76.54,79.76,82.85,85.84,88.8,91.72,94.55,97.31,100.0,2030
Guatemala,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,1.1,ALB,68.38,69.5,70.63,71.75,72.87,73.97,75.07,76.15,77.22,78.27,79.34,2050
Guatemala,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,1.28,SM,68.38,69.12,70.87,72.31,73.62,74.89,76.16,77.47,78.73,79.96,81.16,2050
Guatemala,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.27,ALB,67.19,80.99,68.67,81.83,69.91,82.51,71.09,83.25,72.38,83.99,79.89,
Guatemala,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.23,SM,68.85,70.94,73.23,75.05,76.72,78.25,78.85,79.45,80.02,80.59,81.13,
Guatemala,"Sanitation Services, Access, percent of population",halving,Sanitation,0.24,ALB,66.32,66.0,66.09,65.77,65.41,65.02,65.77,66.54,67.27,68.02,68.76,
Guatemala,"Sanitation Services, Access, percent of population",halving,Sanitation,0.08,SM,66.3,65.83,65.74,65.29,64.71,64.01,64.61,65.27,65.88,66.5,67.12,
Guatemala,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.27,ALB,71.55,75.05,78.34,80.13,81.6,82.51,82.88,83.23,83.57,83.9,84.23,
Guatemala,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.19,SM,71.69,75.79,79.26,81.15,81.71,82.0,82.31,82.66,83.0,83.31,83.62,
Guatemala,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.04,ALB,73.84,78.0,80.73,81.84,82.17,82.51,82.88,83.23,83.57,83.9,84.23,
Guatemala,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.95,SM,74.06,79.09,81.09,81.43,81.71,82.0,82.31,82.66,82.99,83.31,83.61,
Guatemala,"Water Services, Access, percent of population",Base,Water,0.21,Base,93.26,93.41,93.8,94.03,94.22,94.39,94.59,94.8,94.99,95.17,95.35,
Guatemala,"Water Services, Access, percent of population",Full water access in 2030,Water,0.57,ALB,94.09,94.7,95.3,95.92,96.51,97.09,97.64,98.2,98.75,99.28,99.82,2030
Guatemala,"Water Services, Access, percent of population",Full water access in 2030,Water,0.6,SM,93.99,94.59,95.39,96.08,96.71,97.33,97.91,98.47,99.01,99.52,100.0,2030
Guatemala,"Water Services, Access, percent of population",Full water access in 2050,Water,0.21,ALB,93.71,93.95,94.16,94.4,94.63,94.85,95.06,95.27,95.46,95.65,95.85,2050
Guatemala,"Water Services, Access, percent of population",Full water access in 2050,Water,0.3,SM,93.6,93.81,94.28,94.63,94.95,95.25,95.55,95.86,96.13,96.37,96.61,2050
Guatemala,"Water Services, Access, percent of population",doubling,Water,0.29,ALB,93.71,94.22,94.88,95.33,95.71,96.05,96.14,96.27,96.37,96.48,96.57,
Guatemala,"Water Services, Access, percent of population",doubling,Water,0.3,SM,93.76,94.33,95.05,95.47,95.84,96.16,96.3,96.45,96.58,96.67,96.77,
Guatemala,"Water Services, Access, percent of population",halving,Water,0.14,ALB,93.02,92.91,93.12,93.11,93.09,93.05,93.33,93.63,93.89,94.14,94.4,
Guatemala,"Water Services, Access, percent of population",halving,Water,0.06,SM,92.98,92.83,92.94,92.85,92.7,92.5,92.72,92.97,93.19,93.42,93.63,
Guatemala,"Water Services, Access, percent of population",quadrupling,Water,0.27,ALB,94.44,95.35,96.0,96.23,96.4,96.53,96.67,96.82,96.92,97.02,97.11,
Guatemala,"Water Services, Access, percent of population",quadrupling,Water,0.22,SM,94.57,95.39,95.87,96.01,96.13,96.25,96.36,96.48,96.58,96.67,96.77,
Guatemala,"Water Services, Access, percent of population",six-fold,Water,0.21,ALB,95.02,95.76,96.12,96.26,96.41,96.53,96.67,96.82,96.92,97.02,97.12,
Guatemala,"Water Services, Access, percent of population",six-fold,Water,0.17,SM,95.06,95.62,95.87,96.01,96.13,96.25,96.36,96.48,96.58,96.67,96.77,
Haiti,"Sanitation Services, Access, percent of population",Base,Sanitation,0.48,Base,38.09,36.69,37.02,37.33,37.61,38.5,39.38,40.38,41.26,42.09,42.91,
Haiti,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.66,ALB,43.43,49.43,55.44,61.38,67.16,72.86,78.47,84.01,89.48,94.88,100.0,2030
Haiti,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.63,SM,43.69,47.9,53.77,59.66,65.46,71.54,77.52,83.44,89.18,94.79,100.0,2030
Haiti,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.26,ALB,39.7,42.11,44.58,47.03,49.35,51.64,53.87,56.04,58.15,60.24,62.28,2050
Haiti,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.14,SM,39.93,40.36,42.49,44.67,46.69,49.21,51.68,54.24,56.66,59.01,61.34,2050
Haiti,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.21,ALB,38.09,65.59,36.34,66.35,36.52,61.34,38.17,68.29,39.65,69.21,50.24,
Haiti,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.28,SM,39.67,39.83,41.68,43.46,45.25,47.54,48.47,49.6,50.58,51.51,52.43,
Haiti,"Sanitation Services, Access, percent of population",halving,Sanitation,0.01,ALB,37.01,34.67,34.02,33.38,32.75,32.6,33.55,34.54,35.42,36.24,37.07,
Haiti,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.09,SM,37.28,35.0,34.39,33.7,32.89,32.62,33.4,34.28,35.02,35.71,36.42,
Haiti,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.84,ALB,43.87,46.38,50.06,53.12,55.61,58.63,59.23,60.13,60.84,61.55,62.25,
Haiti,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.16,SM,42.59,45.22,49.11,52.6,55.88,59.31,60.21,61.36,62.36,63.29,64.22,
Haiti,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.78,ALB,47.12,51.21,55.89,58.8,60.15,61.91,62.46,63.17,63.76,64.32,64.89,
Haiti,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.28,SM,45.24,49.67,54.8,59.12,62.5,64.46,65.15,66.0,66.74,67.4,68.05,
Haiti,"Water Services, Access, percent of population",Base,Water,0.47,Base,67.03,66.56,66.99,67.41,67.78,68.46,69.13,69.86,70.51,71.11,71.72,
Haiti,"Water Services, Access, percent of population",Full water access in 2030,Water,3.02,ALB,69.78,73.21,76.59,79.88,83.02,86.07,89.04,91.9,94.71,97.44,100.0,2030
Haiti,"Water Services, Access, percent of population",Full water access in 2030,Water,2.98,SM,70.18,73.21,76.59,79.89,83.03,86.16,89.17,92.08,94.87,97.55,100.0,2030
Haiti,"Water Services, Access, percent of population",Full water access in 2050,Water,1.35,ALB,67.79,69.34,70.9,72.4,73.83,75.19,76.52,77.78,79.01,80.18,81.33,2050
Haiti,"Water Services, Access, percent of population",Full water access in 2050,Water,1.38,SM,68.17,69.33,70.88,72.42,73.81,75.31,76.75,78.16,79.49,80.77,82.01,2050
Haiti,"Water Services, Access, percent of population",doubling,Water,0.96,ALB,68.54,69.49,71.14,72.68,74.01,75.54,76.04,76.64,77.16,77.66,78.16,
Haiti,"Water Services, Access, percent of population",doubling,Water,0.88,SM,68.39,68.99,70.41,71.71,72.88,74.23,74.81,75.5,76.1,76.67,77.23,
Haiti,"Water Services, Access, percent of population",halving,Water,0.06,ALB,66.22,64.87,64.43,63.94,63.37,63.11,63.91,64.73,65.46,66.14,66.81,
Haiti,"Water Services, Access, percent of population",halving,Water,0.05,SM,66.3,65.12,64.77,64.4,63.88,63.59,64.27,64.98,65.62,66.23,66.83,
Haiti,"Water Services, Access, percent of population",quadrupling,Water,1.2,ALB,71.21,74.03,76.93,79.33,80.73,81.44,81.8,82.2,82.55,82.89,83.22,
Haiti,"Water Services, Access, percent of population",quadrupling,Water,1.0,SM,70.72,72.56,74.09,75.47,76.64,78.02,78.53,79.16,79.7,80.2,80.69,
Haiti,"Water Services, Access, percent of population",six-fold,Water,0.98,ALB,73.48,77.38,80.29,80.85,81.05,81.43,81.8,82.2,82.55,82.89,83.23,
Haiti,"Water Services, Access, percent of population",six-fold,Water,1.07,SM,72.24,74.2,76.18,77.8,79.14,80.61,81.05,81.61,82.08,82.53,82.96,
India,"Sanitation Services, Access, percent of population",Base,Sanitation,1.06,Base,67.92,68.37,70.29,71.44,72.91,74.11,75.05,75.93,76.74,77.61,78.55,
India,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,2.87,ALB,71.28,74.43,77.41,80.23,83.12,85.88,88.65,91.49,94.34,97.18,100.0,2030
India,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,2.89,SM,71.08,73.53,77.47,80.81,84.25,87.37,90.26,92.92,95.4,97.76,100.0,2030
India,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,1.07,ALB,69.56,70.87,72.05,73.05,74.14,75.07,75.98,76.9,77.93,79.09,80.3,2050
India,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,1.53,SM,69.33,69.97,72.29,74.03,76.1,77.83,79.34,80.74,82.02,83.28,84.64,2050
India,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.49,ALB,67.92,82.02,69.76,83.58,72.41,84.63,74.85,86.03,76.64,86.87,82.77,
India,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.54,SM,69.91,72.32,75.71,78.08,80.44,82.22,82.92,83.5,84.04,84.64,85.32,
India,"Sanitation Services, Access, percent of population",halving,Sanitation,0.78,ALB,67.3,67.18,68.49,68.99,69.76,70.19,71.23,72.14,73.02,74.01,75.09,
India,"Sanitation Services, Access, percent of population",halving,Sanitation,0.47,SM,66.66,65.84,66.36,66.07,66.15,65.88,67.13,68.18,69.14,70.19,71.33,
India,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.59,ALB,70.87,73.58,77.22,79.38,81.64,83.5,84.32,85.02,85.6,86.19,86.82,
India,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.22,SM,73.51,77.93,80.42,81.31,82.24,82.96,83.55,84.07,84.57,85.12,85.75,
India,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.49,ALB,72.52,75.87,79.26,81.64,83.99,85.12,85.61,86.08,86.52,86.97,87.46,
India,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.94,SM,76.34,79.26,80.65,81.33,82.25,82.97,83.56,84.09,84.58,85.13,85.76,
India,"Water Services, Access, percent of population",Base,Water,0.45,Base,89.88,89.8,90.73,91.28,92.0,92.61,93.07,93.42,93.74,94.08,94.43,
India,"Water Services, Access, percent of population",Full water access in 2030,Water,0.89,ALB,91.13,92.11,93.02,93.9,94.79,95.66,96.51,97.37,98.25,99.14,100.0,2030
India,"Water Services, Access, percent of population",Full water access in 2030,Water,0.86,SM,91.41,91.97,93.1,94.14,95.22,96.16,97.02,97.81,98.57,99.3,100.0,2030
India,"Water Services, Access, percent of population",Full water access in 2050,Water,0.39,ALB,90.55,90.98,91.32,91.64,92.03,92.6,93.07,93.42,93.74,94.09,94.46,2050
India,"Water Services, Access, percent of population",Full water access in 2050,Water,0.43,SM,90.86,90.82,91.44,91.99,92.64,93.19,93.67,94.06,94.43,94.81,95.21,2050
India,"Water Services, Access, percent of population",doubling,Water,0.5,ALB,90.3,90.58,91.72,92.43,93.24,93.88,94.25,94.51,94.76,95.02,95.29,
India,"Water Services, Access, percent of population",doubling,Water,0.48,SM,90.7,91.2,92.48,93.29,93.85,94.25,94.57,94.81,95.02,95.27,95.52,
India,"Water Services, Access, percent of population",halving,Water,0.41,ALB,89.66,89.34,90.12,90.5,91.11,91.61,92.19,92.6,92.98,93.38,93.81,
India,"Water Services, Access, percent of population",halving,Water,0.17,SM,89.31,88.58,88.89,88.73,88.73,88.5,89.14,89.61,90.05,90.51,91.03,
India,"Water Services, Access, percent of population",quadrupling,Water,0.51,ALB,91.0,91.76,93.04,93.86,94.54,94.93,95.24,95.46,95.67,95.89,96.13,
India,"Water Services, Access, percent of population",quadrupling,Water,0.38,SM,91.75,92.42,93.01,93.37,93.85,94.25,94.57,94.81,95.02,95.27,95.52,
India,"Water Services, Access, percent of population",six-fold,Water,0.45,ALB,91.59,92.62,93.72,94.08,94.55,94.93,95.24,95.46,95.67,95.89,96.13,
India,"Water Services, Access, percent of population",six-fold,Water,0.31,SM,92.47,92.43,93.01,93.37,93.85,94.25,94.57,94.81,95.02,95.27,95.52,
Indonesia,"Sanitation Services, Access, percent of population",Base,Sanitation,0.47,Base,83.61,83.89,84.67,85.23,85.84,86.38,86.79,87.2,87.59,87.98,88.34,
Indonesia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,1.45,ALB,85.33,86.86,88.35,89.81,91.3,92.73,94.17,95.61,97.02,98.46,99.87,2030
Indonesia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,1.46,SM,85.41,86.84,88.63,90.34,91.97,93.5,94.92,96.27,97.56,98.8,100.0,2030
Indonesia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,0.56,ALB,84.37,84.98,85.47,86.02,86.6,87.15,87.7,88.26,88.81,89.38,89.93,2050
Indonesia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,0.7,SM,84.47,84.96,85.8,86.7,87.57,88.35,89.07,89.7,90.3,90.91,91.49,2050
