Country,Type,scenario_change,Change_Needed_2030,Change_Needed_2050
Philippines,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Philippines,Water,Full water access in 2050,4.2,no extra increase needed
Rwanda,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Rwanda,Water,Full water access in 2050,4.24,no extra increase needed
Senegal,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Senegal,Water,Full water access in 2050,4.1,no extra increase needed
Sudan South,Water,Full water access in 2030,1.0,no extra increase needed
Sudan South,Water,Full water access in 2050,4.33,no extra increase needed
Tanzania,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Tanzania,Water,Full water access in 2050,3.97,no extra increase needed
Uganda,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Uganda,Water,Full water access in 2050,4.03,no extra increase needed
Zambia,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Zambia,Water,Full water access in 2050,3.97,no extra increase needed
